company_name,category,country_code,year_founded,funding_range,profile_url
Billee Technologies,AI Infrastructure,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/billee-technologies
Billions,AI Infrastructure,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/billions
Bindwell,AI in Agriculture,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/bindwell
BinSentry,AI in Agriculture,CA,2017,$50M-$100M,https://www.ai-market-watch.com/company/binsentry
Binsr Inspect,Computer Vision,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/binsr-inspect
Biobeat,AI in Healthcare,US,2016,$50M-$100M,https://www.ai-market-watch.com/company/biobeat
BioBytes,AI in Healthcare,KR,2023,<$1M,https://www.ai-market-watch.com/company/biobytes
Biographica,AI in Agriculture,GB,2022,$1M-$10M,https://www.ai-market-watch.com/company/biographica
Biomarx,AI in Healthcare,GB,2025,<$1M,https://www.ai-market-watch.com/company/biomarx
BioMed X,AI in Healthcare,DE,2013,Undisclosed,https://www.ai-market-watch.com/company/biomed-x
Bioneex,AI in Healthcare,US,2022,<$1M,https://www.ai-market-watch.com/company/bioneex
Biopeak,AI in Healthcare,IN,2024,$1M-$10M,https://www.ai-market-watch.com/company/biopeak
Bioptimus,AI in Healthcare,FR,2023,$50M-$100M,https://www.ai-market-watch.com/company/bioptimus
Biorce,AI in Healthcare,ES,2024,$50M-$100M,https://www.ai-market-watch.com/company/biorce
BioReact,AI in Healthcare,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/bioreact
BioticsAI,AI in Healthcare,US,2020,$1M-$10M,https://www.ai-market-watch.com/company/bioticsai
Birdfy,Computer Vision,CN,2020,Undisclosed,https://www.ai-market-watch.com/company/birdfy
Birdsview,AI in Marketing,DE,2023,$1M-$10M,https://www.ai-market-watch.com/company/birdsview
Biren Technology,AI Infrastructure,CN,2019,$1B+,https://www.ai-market-watch.com/company/biren-technology
Biscat,Robotics / Embodied AI,KR,2025,<$1M,https://www.ai-market-watch.com/company/biscat
Bitdeer Technologies Group,AI Infrastructure,SG,2020,$500M-$1B,https://www.ai-market-watch.com/company/bitdeer-technologies-group
BITE Data,AI Agents,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/bite-data
BiteSpeed,AI in Marketing,IN,2019,$1M-$10M,https://www.ai-market-watch.com/company/bitespeed
BitGo,AI in Fintech,US,2013,$100M-$500M,https://www.ai-market-watch.com/company/bitgo
BitradeX,AI in Fintech,,2022,$10M-$50M,https://www.ai-market-watch.com/company/bitradex
Bits,AI in Fintech,SE,2022,$10M-$50M,https://www.ai-market-watch.com/company/bits
Bitsensing,AI in Government / Public Sector,KR,2018,$50M-$100M,https://www.ai-market-watch.com/company/bitsensing
Bizom,AI in Marketing,IN,2008,$10M-$50M,https://www.ai-market-watch.com/company/bizom
BizTrip AI,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/biztrip-ai
Bizzy,AI in Marketing,BE,2021,$1M-$10M,https://www.ai-market-watch.com/company/bizzy
Black Forest Labs,Foundation Models / LLMs,DE,2024,$100M-$500M,https://www.ai-market-watch.com/company/black-forest-labs
Black Sesame Technologies,AI Chips / Semiconductors,CN,2016,$500M-$1B,https://www.ai-market-watch.com/company/black-sesame-technologies
Blackpearl Group,AI in Marketing,NZ,2012,$10M-$50M,https://www.ai-market-watch.com/company/blackpearl-group
Blacksmith,AI Developer Tools,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/blacksmith
Blackwall,AI in Cybersecurity,EE,2019,$50M-$100M,https://www.ai-market-watch.com/company/blackwall
"Blaize Holdings, Inc.",AI Chips / Semiconductors,US,2011,$100M-$500M,https://www.ai-market-watch.com/company/blaize-holdings-inc
Bland AI,Voice / Speech AI,US,2023,$100M-$500M,https://www.ai-market-watch.com/company/bland-ai
Blank Beauty,Robotics / Embodied AI,US,2016,$1M-$10M,https://www.ai-market-watch.com/company/blank-beauty
Blankspace,AI in Marketing,GB,2025,<$1M,https://www.ai-market-watch.com/company/blankspace
BlastPoint,AI in Analytics & BI,US,2016,$10M-$50M,https://www.ai-market-watch.com/company/blastpoint
Blaxel,AI Infrastructure,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/blaxel
Blinkit-AI,Generative Media (Image / Video),IN,2021,$1M-$10M,https://www.ai-market-watch.com/company/blinkit-ai
Blip,AI in Retail / E-commerce,IN,2024,Undisclosed,https://www.ai-market-watch.com/company/blip
Bliss,AI in Healthcare,FI,2024,<$1M,https://www.ai-market-watch.com/company/bliss
Blitzllama,AI in Marketing,US,2021,<$1M,https://www.ai-market-watch.com/company/blitzllama
Block AI Labs,AI Developer Tools,US,2024,Undisclosed,https://www.ai-market-watch.com/company/block-ai-labs
Block Security Arena (BSA),AI in Cybersecurity,US,2025,Undisclosed,https://www.ai-market-watch.com/company/block-security-arena-bsa
Blockbrain,AI Agents,DE,2022,$10M-$50M,https://www.ai-market-watch.com/company/blockbrain
Blockit,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/blockit
Blocks,AI Infrastructure,DE,2025,$1M-$10M,https://www.ai-market-watch.com/company/blocks
Blocks.diy,AI Agents,IL,2025,$10M-$50M,https://www.ai-market-watch.com/company/blocks-diy
BloodGPT,AI in Healthcare,CY,2023,$1M-$10M,https://www.ai-market-watch.com/company/bloodgpt
Blossom Health,AI in Healthcare,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/blossom-health
Bloxley,AI in Fintech,US,2022,$1M-$10M,https://www.ai-market-watch.com/company/bloxley
Blue Cloud Softech Solutions Limited,AI Infrastructure,IN,1991,$100M-$500M,https://www.ai-market-watch.com/company/blue-cloud-softech-solutions-limited
Blue Energy,AI in Climate / Energy,US,2023,$100M-$500M,https://www.ai-market-watch.com/company/blue-energy
Blue J,AI in Legal,CA,2015,$10M-$50M,https://www.ai-market-watch.com/company/blue-j
Blue Longevity Clinic,AI in Healthcare,BG,2024,$1M-$10M,https://www.ai-market-watch.com/company/blue-longevity-clinic
Blue Water Autonomy,Robotics / Embodied AI,US,2024,$50M-$100M,https://www.ai-market-watch.com/company/blue-water-autonomy
Blue Yonder,AI in Supply Chain / Logistics,US,1985,$1B+,https://www.ai-market-watch.com/company/blue-yonder
Bluecopa,AI in Fintech,IN,2021,$10M-$50M,https://www.ai-market-watch.com/company/bluecopa
Bluefish AI,AI in Marketing,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/bluefish-ai
Bluejay AI,AI Developer Tools,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/bluejay-ai
Bluente,Natural Language Processing,SG,2021,$1M-$10M,https://www.ai-market-watch.com/company/bluente
BluePill AI,AI in Marketing,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/bluepill-ai
Blum,AI in Fintech,AE,2023,$1M-$10M,https://www.ai-market-watch.com/company/blum
Blumind Inc.,AI Infrastructure,CA,2020,$10M-$50M,https://www.ai-market-watch.com/company/blumind-inc
BluWave-ai,AI in Climate / Energy,CA,2017,$10M-$50M,https://www.ai-market-watch.com/company/bluwave-ai
Bluworks,AI Agents,EG,2022,$1M-$10M,https://www.ai-market-watch.com/company/bluworks
Boardy,AI Agents,CA,2024,$10M-$50M,https://www.ai-market-watch.com/company/boardy
Bobyard,Computer Vision,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/bobyard
BoCloud,AI Infrastructure,CN,2012,$100M-$500M,https://www.ai-market-watch.com/company/bocloud
BoldVoice,Voice / Speech AI,US,2021,$10M-$50M,https://www.ai-market-watch.com/company/boldvoice
Bolna,Voice / Speech AI,IN,2024,$1M-$10M,https://www.ai-market-watch.com/company/bolna
Bolt Data & Energy,AI Infrastructure,US,2025,$100M-$500M,https://www.ai-market-watch.com/company/bolt-data-energy
Boltz,AI in Healthcare,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/boltz
BON Credit,AI in Fintech,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/bon-credit
Bonbloc Technologies,AI in Supply Chain / Logistics,IN,2020,$10M-$50M,https://www.ai-market-watch.com/company/bonbloc-technologies
Bondu,AI Infrastructure,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/bondu
Bone AI,Robotics / Embodied AI,KR,2024,$10M-$50M,https://www.ai-market-watch.com/company/bone-ai
Bonfy.AI,AI in Cybersecurity,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/bonfy-ai
Bonsai Health,AI in Healthcare,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/bonsai-health
Bonsai Robotics Inc.,Robotics / Embodied AI,US,2022,$10M-$50M,https://www.ai-market-watch.com/company/bonsai-robotics-inc
BoodleBox,AI in Education,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/boodlebox
Boom,AI Agents,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/boom
BoomPop,AI in Marketing,US,2020,$50M-$100M,https://www.ai-market-watch.com/company/boompop
Boost AI,AI Agents,NO,2016,$10M-$50M,https://www.ai-market-watch.com/company/boost-ai
Boostbar AG,AI in Agriculture,CH,2021,$10M-$50M,https://www.ai-market-watch.com/company/boostbar-ag
Booster Robotics,Robotics / Embodied AI,CN,2023,$100M-$500M,https://www.ai-market-watch.com/company/booster-robotics
Bootup AI,AI in Marketing,US,2022,$1M-$10M,https://www.ai-market-watch.com/company/bootup-ai
Born,AI in Media / Gaming / Entertainment,DE,2022,$10M-$50M,https://www.ai-market-watch.com/company/born
BOS Semiconductors,AI Chips / Semiconductors,KR,2022,$50M-$100M,https://www.ai-market-watch.com/company/bos-semiconductors
Boston Dynamics,Robotics / Embodied AI,US,1992,$1B+,https://www.ai-market-watch.com/company/boston-dynamics
Bot Games,AI Infrastructure,US,2025,Undisclosed,https://www.ai-market-watch.com/company/bot-games
Botanu,AI in Analytics & BI,US,2025,Undisclosed,https://www.ai-market-watch.com/company/botanu
BotCity,AI Developer Tools,BR,2018,$10M-$50M,https://www.ai-market-watch.com/company/botcity
BotGauge AI,AI Agents,IN,2024,$1M-$10M,https://www.ai-market-watch.com/company/botgauge-ai
Botonomous,AI Agents,US,2024,Undisclosed,https://www.ai-market-watch.com/company/botonomous
Botpress,AI Agents,CA,2017,$10M-$50M,https://www.ai-market-watch.com/company/botpress
Botsync,Robotics / Embodied AI,SG,2017,$1M-$10M,https://www.ai-market-watch.com/company/botsync
Boulevard,Business Management Platform for Self-Care Industry,US,2016,$100M-$500M,https://www.ai-market-watch.com/company/boulevard
Boundless Immigration,AI in Legal,US,2017,$10M-$50M,https://www.ai-market-watch.com/company/boundless-immigration
Bourn,AI in Fintech,GB,2024,$1M-$10M,https://www.ai-market-watch.com/company/bourn
BPR Hub,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/bpr-hub
bQuest,AI in Healthcare,US,2023,Undisclosed,https://www.ai-market-watch.com/company/bquest
Bracket,AI in Fintech,GB,2024,$1M-$10M,https://www.ai-market-watch.com/company/bracket
Brain-CA Technologies,AI Chips / Semiconductors,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/brain-ca-technologies
Brain-Life,AI in Healthcare,VN,2024,Undisclosed,https://www.ai-market-watch.com/company/brain-life
BrainChip,AI Chips / Semiconductors,US,2004,$100M-$500M,https://www.ai-market-watch.com/company/brainchip
Brainfish,AI Agents,US,2022,$10M-$50M,https://www.ai-market-watch.com/company/brainfish
BrainHost,AI Infrastructure,US,2024,Undisclosed,https://www.ai-market-watch.com/company/brainhost
Brainomix,AI in Healthcare,GB,2010,$50M-$100M,https://www.ai-market-watch.com/company/brainomix
BrainSightAI,AI in Healthcare,IN,2019,$1M-$10M,https://www.ai-market-watch.com/company/brainsightai
Brainyware,AI Infrastructure,IT,2023,$1M-$10M,https://www.ai-market-watch.com/company/brainyware
Brandlight,AI in Marketing,IL,2024,$10M-$50M,https://www.ai-market-watch.com/company/brandlight
BrandRx,AI Developer Tools,IN,2025,Undisclosed,https://www.ai-market-watch.com/company/brandrx
Brandworks Technologies,AI in Manufacturing,IN,2017,$10M-$50M,https://www.ai-market-watch.com/company/brandworks-technologies
Breaker,Robotics / Embodied AI,AU,2023,$1M-$10M,https://www.ai-market-watch.com/company/breaker
Breez AI,Voice / Speech AI,JO,2025,$1M-$10M,https://www.ai-market-watch.com/company/breez-ai
Breezy,AI Agents,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/breezy
Brellium Inc.,AI in Healthcare,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/brellium-inc
Breni,AI in Education,NG,2025,Undisclosed,https://www.ai-market-watch.com/company/breni
Bretton,AI in Fintech,US,2023,$50M-$100M,https://www.ai-market-watch.com/company/bretton
Brex,AI in Fintech,US,2017,$1B+,https://www.ai-market-watch.com/company/brex
Bria,Foundation Models / LLMs,US,2020,$50M-$100M,https://www.ai-market-watch.com/company/bria
Brickanta,AI Agents,SE,2024,$1M-$10M,https://www.ai-market-watch.com/company/brickanta
Bricks,AI Developer Tools,IT,2025,$1M-$10M,https://www.ai-market-watch.com/company/bricks
Bridge,AI in Marketing,JP,2016,Undisclosed,https://www.ai-market-watch.com/company/bridge
Bridgetown Research,AI Agents,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/bridgetown-research
BriefCatch,AI in Legal,US,2018,$1M-$10M,https://www.ai-market-watch.com/company/briefcatch
BrightAI,AI Infrastructure,US,2019,$10M-$50M,https://www.ai-market-watch.com/company/brightai
Brightwave,AI in Fintech,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/brightwave
Brilliant Harvest,AI in Agriculture,CA,2023,$1M-$10M,https://www.ai-market-watch.com/company/brilliant-harvest
Bronto,AI Infrastructure,IE,2024,$10M-$50M,https://www.ai-market-watch.com/company/bronto
Brook.ai,AI in Healthcare,US,2015,$10M-$50M,https://www.ai-market-watch.com/company/brook-ai
Brooklyn Artificial Intelligence Research,AI in Fintech,US,2016,Undisclosed,https://www.ai-market-watch.com/company/brooklyn-artificial-intelligence-research
Browser Use,AI Developer Tools,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/browser-use
BrowserStack,AI Developer Tools,IE,2011,$100M-$500M,https://www.ai-market-watch.com/company/browserstack
Bsure,AI in Cybersecurity,NO,2022,$1M-$10M,https://www.ai-market-watch.com/company/bsure
"BTM, Inc.",AI in Analytics & BI,JP,2011,$1M-$10M,https://www.ai-market-watch.com/company/btm-inc
Bubble,AI Developer Tools,US,2012,$100M-$500M,https://www.ai-market-watch.com/company/bubble
Build AI,AI Infrastructure,,2023,Undisclosed,https://www.ai-market-watch.com/company/build-ai
Buildcheck,Computer Vision,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/buildcheck
Builder.ai,AI Developer Tools,GB,2016,$100M-$500M,https://www.ai-market-watch.com/company/builder-ai
Builder.io,AI Agents,US,2018,$10M-$50M,https://www.ai-market-watch.com/company/builder-io
BuildOps,AI Agents,US,2018,$100M-$500M,https://www.ai-market-watch.com/company/buildops
Buildroid AI,Robotics / Embodied AI,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/buildroid-ai
Bulbthings,AI in Supply Chain / Logistics,GB,2014,Undisclosed,https://www.ai-market-watch.com/company/bulbthings
Bulk,AI in Fintech,,2023,$1M-$10M,https://www.ai-market-watch.com/company/bulk
Bun,AI Developer Tools,US,2021,$10M-$50M,https://www.ai-market-watch.com/company/bun
Buntar Aerospace,Robotics / Embodied AI,UA,2023,$10M-$50M,https://www.ai-market-watch.com/company/buntar-aerospace
Burnt,AI in Supply Chain / Logistics,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/burnt
BuyerBeats,AI Agents,SG,2025,$1M-$10M,https://www.ai-market-watch.com/company/buyerbeats
Buynomics,AI in Marketing,DE,2018,$10M-$50M,https://www.ai-market-watch.com/company/buynomics
ByteDance,Foundation Models / LLMs,CN,2012,$1B+,https://www.ai-market-watch.com/company/bytedance
ByteEdge,AI Agents,IN,2022,$1M-$10M,https://www.ai-market-watch.com/company/byteedge
C.Scale,AI in Climate / Energy,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/c-scale
C2i,AI Chips / Semiconductors,IN,2024,$10M-$50M,https://www.ai-market-watch.com/company/c2i
C2i Semiconductors,AI Infrastructure,IN,2024,$10M-$50M,https://www.ai-market-watch.com/company/c2i-semiconductors
Caantin,Voice / Speech AI,US,2023,<$1M,https://www.ai-market-watch.com/company/caantin
Cactus,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/cactus
Cadastral,AI Agents,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/cadastral
Cadstrom,AI Developer Tools,CA,2023,$1M-$10M,https://www.ai-market-watch.com/company/cadstrom
Cairns Health,AI in Healthcare,US,2016,$10M-$50M,https://www.ai-market-watch.com/company/cairns-health
Callosum,AI Infrastructure,GB,2024,$10M-$50M,https://www.ai-market-watch.com/company/callosum
Calo,AI Search / Retrieval,SA,2019,$50M-$100M,https://www.ai-market-watch.com/company/calo
Cambium,AI Infrastructure,US,2020,$100M-$500M,https://www.ai-market-watch.com/company/cambium
Cambricon Technologies,AI Chips / Semiconductors,CN,2016,$1B+,https://www.ai-market-watch.com/company/cambricon-technologies
Camera Intelligence,Computer Vision,GB,2021,$1M-$10M,https://www.ai-market-watch.com/company/camera-intelligence
Camp Network,AI in Media / Gaming / Entertainment,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/camp-network
Campfire,AI Agents,US,2023,$100M-$500M,https://www.ai-market-watch.com/company/campfire
Campus,AI in Education,US,2022,$100M-$500M,https://www.ai-market-watch.com/company/campus
Canary Technologies,AI in Retail / E-commerce,US,2017,$100M-$500M,https://www.ai-market-watch.com/company/canary-technologies
Canopy Aerospace,AI in Manufacturing,US,2021,$1M-$10M,https://www.ai-market-watch.com/company/canopy-aerospace
Canva,AI in Marketing,AU,2013,$500M-$1B,https://www.ai-market-watch.com/company/canva
Capacity,AI Agents,US,2017,$100M-$500M,https://www.ai-market-watch.com/company/capacity
Capalo AI,AI in Climate / Energy,FI,2022,$10M-$50M,https://www.ai-market-watch.com/company/capalo-ai
Capital on Tap,AI in Fintech,GB,2012,$1B+,https://www.ai-market-watch.com/company/capital-on-tap
Capital Q,AI in Fintech,US,2017,Undisclosed,https://www.ai-market-watch.com/company/capital-q
Capitalise.ai,AI in Fintech,IL,2015,$10M-$50M,https://www.ai-market-watch.com/company/capitalise-ai
Capitalize.io,AI in Fintech,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/capitalize-io
Capsule Security,AI in Cybersecurity,IL,2025,$1M-$10M,https://www.ai-market-watch.com/company/capsule-security
Captions,Foundation Models / LLMs,US,2021,$100M-$500M,https://www.ai-market-watch.com/company/captions
Carbon Robotics,AI in Agriculture,US,2018,$100M-$500M,https://www.ai-market-watch.com/company/carbon-robotics
CarbonBlack,Robotics / Embodied AI,KR,2024,Undisclosed,https://www.ai-market-watch.com/company/carbonblack
"CarbonSix, Inc.",Robotics / Embodied AI,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/carbonsix-inc
Carbyne,AI in Government / Public Sector,US,2015,$100M-$500M,https://www.ai-market-watch.com/company/carbyne
Cardio Intelligence,AI in Healthcare,JP,2019,$1M-$10M,https://www.ai-market-watch.com/company/cardio-intelligence
CardSight AI,Computer Vision,US,2025,Undisclosed,https://www.ai-market-watch.com/company/cardsight-ai
CareCloud,AI in Healthcare,US,1999,$100M-$500M,https://www.ai-market-watch.com/company/carecloud
Carecode,AI in Healthcare,BR,2024,$1M-$10M,https://www.ai-market-watch.com/company/carecode
CarEdge,AI Agents,US,2020,$1M-$10M,https://www.ai-market-watch.com/company/caredge
CarePilot,AI in Healthcare,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/carepilot
CareSignal,AI in Healthcare,US,2015,$10M-$50M,https://www.ai-market-watch.com/company/caresignal
Caro Health,AI in Healthcare,NL,2019,$50M-$100M,https://www.ai-market-watch.com/company/caro-health
Carrum Health,AI in Healthcare,US,2014,$50M-$100M,https://www.ai-market-watch.com/company/carrum-health
Cartesia,Voice / Speech AI,US,2023,$50M-$100M,https://www.ai-market-watch.com/company/cartesia
Casap,AI in Fintech,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/casap
Casca,AI in Fintech,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/casca
Cascading AI,AI in Fintech,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/cascading-ai
Cascala Health,AI in Healthcare,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/cascala-health
CaseBlink,AI in Legal,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/caseblink
Caseflood.ai,AI in Legal,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/caseflood-ai
Cashfeed,AI in Fintech,BE,2025,$1M-$10M,https://www.ai-market-watch.com/company/cashfeed
Cashmere,Foundation Models / LLMs,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/cashmere
Casium,AI in Legal,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/casium
Cast AI,AI Infrastructure,US,2019,$100M-$500M,https://www.ai-market-watch.com/company/cast-ai
Castellum.AI,AI in Legal,US,2019,$10M-$50M,https://www.ai-market-watch.com/company/castellum-ai
Catchwise,AI in Climate / Energy,NO,2023,$1M-$10M,https://www.ai-market-watch.com/company/catchwise
Causal Labs,AI in Climate / Energy,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/causal-labs
Cavela,AI Agents,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/cavela
CDNetworks,AI Infrastructure,SG,2000,$50M-$100M,https://www.ai-market-watch.com/company/cdnetworks
Cekura,AI Developer Tools,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/cekura
Cellar Insights,AI in Agriculture,CA,2023,$1M-$10M,https://www.ai-market-watch.com/company/cellar-insights
Cellbyte,AI in Healthcare,DE,2024,$1M-$10M,https://www.ai-market-watch.com/company/cellbyte
Cellon,AI Developer Tools,KR,2025,Undisclosed,https://www.ai-market-watch.com/company/cellon
Cellular Intelligence (formerly Somite.ai),AI in Healthcare,US,2023,$50M-$100M,https://www.ai-market-watch.com/company/cellular-intelligence-formerly-somite-ai
Celonis,AI in Analytics & BI,DE,2011,$1B+,https://www.ai-market-watch.com/company/celonis
Censia,AI in HR & Talent,US,2017,$10M-$50M,https://www.ai-market-watch.com/company/censia
Cent,AI in Healthcare,IN,2023,$1M-$10M,https://www.ai-market-watch.com/company/cent
Centific,AI in Analytics & BI,US,2020,$50M-$100M,https://www.ai-market-watch.com/company/centific
CentML Inc.,AI Infrastructure,CA,2022,$10M-$50M,https://www.ai-market-watch.com/company/centml-inc
Central,AI Agents,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/central
Cerebras Systems,AI Infrastructure,US,2016,$1B+,https://www.ai-market-watch.com/company/cerebras-systems
Cerebrium,AI Infrastructure,US,2021,$1M-$10M,https://www.ai-market-watch.com/company/cerebrium
Cerence Inc.,AI in Automotive,US,2019,Undisclosed,https://www.ai-market-watch.com/company/cerence-inc
Ceres AI,AI in Agriculture,US,2014,$50M-$100M,https://www.ai-market-watch.com/company/ceres-ai
Cernel,AI Agents,DK,2023,$1M-$10M,https://www.ai-market-watch.com/company/cernel
CERPRO,Computer Vision,DE,2023,$1M-$10M,https://www.ai-market-watch.com/company/cerpro
Cerrion,Computer Vision,CH,2021,$10M-$50M,https://www.ai-market-watch.com/company/cerrion
CertifID,AI in Fintech,US,2017,$50M-$100M,https://www.ai-market-watch.com/company/certifid
Certify,AI in Healthcare,US,2021,$50M-$100M,https://www.ai-market-watch.com/company/certify
Certora,AI in Cybersecurity,IL,2018,$10M-$50M,https://www.ai-market-watch.com/company/certora
Cetasol,AI in Climate / Energy,SE,2021,$1M-$10M,https://www.ai-market-watch.com/company/cetasol
CFOne,AI in Fintech,JP,2023,$1M-$10M,https://www.ai-market-watch.com/company/cfone
Chabot Mobility,AI in Retail / E-commerce,KR,2016,$10M-$50M,https://www.ai-market-watch.com/company/chabot-mobility
Chai Discovery,AI in Biotech / Drug Discovery,US,2024,$100M-$500M,https://www.ai-market-watch.com/company/chai-discovery
Chainguard,AI in Cybersecurity,US,2021,$500M-$1B,https://www.ai-market-watch.com/company/chainguard
Chalk,ML Ops / ML Platforms,US,2022,$50M-$100M,https://www.ai-market-watch.com/company/chalk
Chalkie AI,AI in Education,GB,2024,$1M-$10M,https://www.ai-market-watch.com/company/chalkie-ai
Champ AI,AI Agents,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/champ-ai
Champ Titles,,US,2018,$100M-$500M,https://www.ai-market-watch.com/company/champ-titles
Chance AI,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/chance-ai
ChangXin Memory Technologies (CXMT),AI Chips / Semiconductors,CN,2016,$1B+,https://www.ai-market-watch.com/company/changxin-memory-technologies-cxmt
Channel Corporation,AI in Customer Service,KR,2014,$10M-$50M,https://www.ai-market-watch.com/company/channel-corporation
Channel Robotics,Robotics / Embodied AI,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/channel-robotics
Channel3,AI Infrastructure,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/channel3
CHAOS,AI in Government / Public Sector,FI,2017,$1M-$10M,https://www.ai-market-watch.com/company/chaos
ChapsVision,AI Infrastructure,FR,2019,$100M-$500M,https://www.ai-market-watch.com/company/chapsvision
Chapter,AI in Healthcare,US,2020,$100M-$500M,https://www.ai-market-watch.com/company/chapter
Chapter One,AI in Marketing,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/chapter-one
Chapter41,Foundation Models / LLMs,DE,2025,Undisclosed,https://www.ai-market-watch.com/company/chapter41
Chara Technologies,AI in Climate / Energy,IN,2019,$10M-$50M,https://www.ai-market-watch.com/company/chara-technologies
Character.ai,Foundation Models / LLMs,US,2021,$100M-$500M,https://www.ai-market-watch.com/company/character-ai
Charge Home Solutions,AI in Energy / Climate,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/charge-home-solutions
Charge Rigs,AI in Supply Chain / Logistics,US,2023,Undisclosed,https://www.ai-market-watch.com/company/charge-rigs
Charm Security Ltd.,AI in Cybersecurity,US,2022,$1M-$10M,https://www.ai-market-watch.com/company/charm-security-ltd
Charta Health,AI in Healthcare,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/charta-health
Chat3D,Generative Media (Image / Video),FR,2023,$1M-$10M,https://www.ai-market-watch.com/company/chat3d
ChatGPTree,AI Agents,US,2025,Undisclosed,https://www.ai-market-watch.com/company/chatgptree
ChatSee.ai,AI Agents,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/chatsee-ai
Check Point Software Technologies Ltd.,AI in Cybersecurity,IL,1993,<$1M,https://www.ai-market-watch.com/company/check-point-software-technologies-ltd
Checkbox,AI in Legal,AU,2016,$10M-$50M,https://www.ai-market-watch.com/company/checkbox
Checkout.com,AI in Fintech,GB,2012,$1B+,https://www.ai-market-watch.com/company/checkout-com
Cheehoo,Generative Media (Image / Video),US,2024,$10M-$50M,https://www.ai-market-watch.com/company/cheehoo
Cheerio AI,AI in Marketing,IN,2020,<$1M,https://www.ai-market-watch.com/company/cheerio-ai
Chef Robotics,Robotics / Embodied AI,US,2019,$50M-$100M,https://www.ai-market-watch.com/company/chef-robotics
ChemLex,AI in Healthcare,SG,2022,$50M-$100M,https://www.ai-market-watch.com/company/chemlex
ChemT Biotechnology,AI in Biotech / Drug Discovery,SG,2024,$1M-$10M,https://www.ai-market-watch.com/company/chemt-biotechnology
Chime Labs,Voice / Speech AI,AU,2024,<$1M,https://www.ai-market-watch.com/company/chime-labs
Chimere,AI in Cybersecurity,FR,2022,Undisclosed,https://www.ai-market-watch.com/company/chimere
Chimoney,AI in Fintech,CA,2021,<$1M,https://www.ai-market-watch.com/company/chimoney
Chip Ganassi Racing,,US,1990,Undisclosed,https://www.ai-market-watch.com/company/chip-ganassi-racing
